case_name,model_name,collision,collocation,nh,Time,nb_iter,calc_time
poly-field-3,cinematic,2017,Runge_Kutta,51,7.0639931887541545,142,4.796999931335449
poly-field-3,cinematic,2017 penetration,Runge_Kutta,51,7.405566919884605,248,7.2829999923706055
poly-field-3,cinematic,2023,Runge_Kutta,51,6.1082251038517095,293,12.174000024795532
poly-field-3,dynamic,2012,Runge_Kutta,51,182.50239964123,1000,53.92799997329712
poly-field-3,dynamic,2017,Runge_Kutta,51,3.3246269736329093,322,11.269999980926514
poly-field-3,dynamic,2017 penetration,Runge_Kutta,51,4.700876894193249,217,7.059999942779541
poly-field-3,dynamic,2023,Runge_Kutta,51,3.104353245604208,374,15.228000164031982
poly-field-3,cinematic,2012,Crank_Nicolson,51,6.097682675498401,175,7.2799999713897705
poly-field-3,cinematic,2017,Crank_Nicolson,51,7.465830410845311,173,4.751999855041504
poly-field-3,cinematic,2017 penetration,Crank_Nicolson,51,6.097685236570041,157,4.289000034332275
poly-field-3,cinematic,2023,Crank_Nicolson,51,6.1093905166469,723,25.585999965667725
poly-field-3,dynamic,2012,Crank_Nicolson,51,3.0959825968449772,631,25.055999994277954
poly-field-3,dynamic,2017,Crank_Nicolson,51,3.325502442969402,215,6.645999908447266
poly-field-3,dynamic,2017 penetration,Crank_Nicolson,51,3.9061227761272597,251,6.927999973297119
poly-field-3,dynamic,2023,Crank_Nicolson,51,3.104959786271898,174,5.837000131607056
poly-field-3,cinematic,2012,RadauIIA-2,51,6.097384363163211,88,3.385999917984009
poly-field-3,cinematic,2017,RadauIIA-2,51,8.720893407138089,195,5.996999979019165
poly-field-3,cinematic,2017 penetration,RadauIIA-2,51,6.0973869759325,159,4.422999858856201
poly-field-3,cinematic,2023,RadauIIA-2,51,6.10904994919152,92,3.2200000286102295
poly-field-3,dynamic,2012,RadauIIA-2,51,3.0958160862105166,840,43.45900011062622
poly-field-3,dynamic,2017,RadauIIA-2,51,3.325193374078837,120,3.575000047683716
poly-field-3,dynamic,2017 penetration,RadauIIA-2,51,5.090165074584085,271,6.631999969482422
poly-field-3,dynamic,2023,RadauIIA-2,51,3.1047786661108123,55,2.0220000743865967
poly-field-3,cinematic,2012,implicit_Euler,101,87.95731600107132,1000,87.45600008964539
poly-field-3,cinematic,2017,implicit_Euler,101,7.007489177083269,290,13.048999786376953
poly-field-3,cinematic,2017 penetration,implicit_Euler,101,6.0338560878194505,190,8.919999837875366
poly-field-3,cinematic,2023,implicit_Euler,101,6.044862364628004,209,12.85099983215332
poly-field-3,dynamic,2012,implicit_Euler,101,3.5377783497731583,430,39.09100008010864
poly-field-3,dynamic,2017,implicit_Euler,101,4.20442033767375,148,6.825999975204468
poly-field-3,dynamic,2017 penetration,implicit_Euler,101,3.9317586830440168,392,27.38100004196167
poly-field-3,dynamic,2023,implicit_Euler,101,3.1232424061774653,275,22.045000076293945
poly-field-3,cinematic,2012,Runge_Kutta,101,1389.8457387838969,1000,94.20900011062622
poly-field-3,cinematic,2017,Runge_Kutta,101,7.3172664447923905,291,17.497999906539917
poly-field-3,cinematic,2017 penetration,Runge_Kutta,101,8.698788836543045,304,15.966000080108643
